Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
610000,1.4242686,-0.53029144,573.8333333333334,-5.548965502841384,-5.548965502841384,1.0
620000,1.4239434,-0.23871404,467.3181818181818,-6.702844330663951,-6.702844330663951,1.0
630000,1.4229938,-0.32961503,635.0,-5.700219743213044,-5.700219743213044,1.0
640000,1.4238088,-0.45144266,573.0,-9.52658428777795,-9.52658428777795,1.0
650000,1.424137,-0.29056457,816.3,-13.984165016080079,-13.984165016080079,1.0
660000,1.423471,-0.6751631,722.5,-6.469938087701848,-6.469938087701848,1.0
670000,1.422365,-0.6408283,522.8888888888889,-4.631234885848648,-4.631234885848648,1.0
680000,1.4209279,-0.53992945,458.72727272727275,-1.472403800456091,-1.472403800456091,1.0
690000,1.4190719,-0.3020679,569.8421052631579,-5.528298083681683,-5.528298083681683,1.0
700000,1.4179453,-0.18631363,804.3333333333334,-11.72226316316907,-11.72226316316907,1.0
710000,1.4182695,-0.26437542,679.0,-6.410957746406309,-6.410957746406309,1.0
720000,1.4188405,-0.426305,717.8666666666667,-5.509287112244055,-5.509287112244055,1.0
730000,1.4190981,-0.4079656,598.1875,-7.090849067720114,-7.090849067720114,1.0
740000,1.4187479,-0.35134053,542.8421052631579,-3.6397814098048626,-3.6397814098048626,1.0
750000,1.4178407,-0.18628846,647.0714285714286,-8.10443067353864,-8.10443067353864,1.0
760000,1.417176,-0.46214837,955.0909090909091,-13.761544734582044,-13.761544734582044,1.0
770000,1.4168394,-0.52910274,889.6363636363636,-9.50570567264483,-9.50570567264483,1.0
780000,1.417533,-0.5985147,556.8947368421053,-4.3063450351546635,-4.3063450351546635,1.0
790000,1.4176934,-0.38812438,585.8235294117648,-4.3792832520994125,-4.3792832520994125,1.0
800000,1.4179766,-0.18248329,597.8823529411765,-5.387169653435421,-5.387169653435421,1.0
810000,1.4171641,-0.6999829,770.7272727272727,-5.756141800975456,-5.756141800975456,1.0
820000,1.4157449,-0.36799255,956.25,-12.002150242982983,-12.002150242982983,1.0
830000,1.416582,-0.5799322,437.7894736842105,-2.921705389731678,-2.921705389731678,1.0
840000,1.416955,-0.4375084,1894.5,-28.898330809506053,-28.898330809506053,1.0
850000,1.4174167,-0.23202443,911.4545454545455,-7.741242437660978,-7.741242437660978,1.0
860000,1.417221,-0.5691938,466.3,-2.764237761318782,-2.764237761318782,1.0
870000,1.4171109,-0.21633719,460.5,-2.6272026719884933,-2.6272026719884933,1.0
880000,1.4159418,0.116366126,1134.2222222222222,-19.94243097391437,-19.94243097391437,1.0
890000,1.4166943,0.16475582,923.4166666666666,-9.219598344596838,-9.219598344596838,1.0
900000,1.4172989,-0.051733356,820.1666666666666,-7.4888831292907225,-7.4888831292907225,1.0
910000,1.4179236,-0.5449338,862.3,-7.613344602854977,-7.613344602854977,1.0
920000,1.4183261,-0.45234507,770.3333333333334,-8.586983019983139,-8.586983019983139,1.0
930000,1.4195076,-0.18092221,1265.7142857142858,-21.381469233669254,-21.381469233669254,1.0
940000,1.4207792,0.14531879,1065.625,-8.748927192549672,-8.748927192549672,1.0
950000,1.4215089,-0.29785714,801.8666666666667,-7.516837238363708,-7.516837238363708,1.0
960000,1.4201198,-0.8115753,737.4,-8.998962819061308,-8.998962819061308,1.0
970000,1.4189684,-0.3709538,1233.7777777777778,-20.350880305612616,-20.350880305612616,1.0
980000,1.417868,-0.40686575,1185.0,-9.204664701077126,-9.204664701077126,1.0
