Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2130000,1.1785258,-0.001194078,None,None,None,1.0
2140000,1.1775192,-0.0012705924,None,None,None,1.0
2150000,1.1764332,8.8315144e-05,None,None,None,1.0
2160000,1.1753476,0.0005198213,None,None,None,1.0
2170000,1.1740661,0.00043612154,None,None,None,1.0
2180000,1.1727914,0.0009939247,None,None,None,1.0
2190000,1.1715294,0.00092849927,None,None,None,1.0
2200000,1.1701596,0.00070757384,None,None,None,1.0
2210000,1.168557,0.0005859266,None,None,None,1.0
2220000,1.1671504,0.00046359957,None,None,None,1.0
2230000,1.1657821,0.0003235671,None,None,None,1.0
2240000,1.164293,-0.0003769088,None,None,None,1.0
2250000,1.1631767,-0.0011629686,None,None,None,1.0
2260000,1.1622851,-0.0011500038,None,None,None,1.0
2270000,1.1611887,-0.0008957073,None,None,None,1.0
2280000,1.1599059,-0.00010696396,None,None,None,1.0
2290000,1.158501,0.00012077952,None,None,None,1.0
2300000,1.1572634,-0.00010050068,None,None,None,1.0
2310000,1.1560835,0.00013668281,None,None,None,1.0
2320000,1.1549826,0.000631248,None,None,None,1.0
2330000,1.1541445,0.00034582158,None,None,None,1.0
2340000,1.1531335,0.0001425674,None,None,None,1.0
2350000,1.1521454,0.0006198187,None,None,None,1.0
2360000,1.1510347,0.00096766814,None,None,None,1.0
2370000,1.1502004,0.0006522526,None,None,None,1.0
2380000,1.1493522,0.0014111099,None,None,None,1.0
2390000,1.1480076,0.0015769658,None,None,None,1.0
2400000,1.1470326,0.0008744323,None,None,None,1.0
2410000,1.146243,-0.000272345,None,None,None,1.0
2420000,1.1452578,-0.0010126457,None,None,None,1.0
2430000,1.1443278,-0.00044458607,None,None,None,1.0
2440000,1.1432579,-0.00049696653,None,None,None,1.0
2450000,1.1422001,-0.00023265312,None,None,None,1.0
2460000,1.1411997,-0.00049602956,None,None,None,1.0
2470000,1.1402864,-0.0009253384,None,None,None,1.0
2480000,1.1394674,-0.00060364086,None,None,None,1.0
2490000,1.1388074,-5.0150313e-05,None,None,None,1.0
2500000,1.1381857,0.0002695431,None,None,None,1.0
2510000,1.1374578,-0.0003451291,None,None,None,1.0
2520000,1.1365571,-0.00011446862,None,None,None,1.0
2530000,1.1355103,-1.6575255e-05,None,None,None,1.0
2540000,1.1346397,-0.00045203007,None,None,None,1.0
2550000,1.1340092,-0.00044379203,None,None,None,1.0
2560000,1.1335073,-0.0005105484,None,None,None,1.0
2570000,1.1329614,-0.000420041,None,None,None,1.0
2580000,1.1324254,8.3645304e-05,None,None,None,1.0
2590000,1.1319114,-0.00023144121,None,None,None,1.0
2600000,1.1312487,-0.0007101886,None,None,None,1.0
2610000,1.1306546,-0.0010180703,None,None,None,1.0
2620000,1.1302847,-0.0007392728,None,None,None,1.0
2630000,1.1298546,-0.0009803992,None,None,None,1.0
2640000,1.1293656,-0.00096584647,None,None,None,1.0
2650000,1.1288702,-0.00065631163,None,None,None,1.0
2660000,1.1281602,-0.0006442302,None,None,None,1.0
2670000,1.1274825,2.1740298e-05,None,None,None,1.0
2680000,1.1270723,-5.171605e-05,None,None,None,1.0
2690000,1.1267872,0.0004266762,None,None,None,1.0
2700000,1.1265737,0.00024786868,None,None,None,1.0
2710000,1.1262276,0.000106999,None,None,None,1.0
2720000,1.1258732,-9.171354e-05,None,None,None,1.0
2730000,1.1255598,-0.00039586687,None,None,None,1.0
2740000,1.1254404,4.267553e-06,None,None,None,1.0
2750000,1.125218,-0.0005195161,None,None,None,1.0
2760000,1.1247821,-8.732885e-05,None,None,None,1.0
2770000,1.1244433,0.00014821507,None,None,None,1.0
2780000,1.1240461,-0.00023583628,None,None,None,1.0
2790000,1.123687,-0.0004019135,None,None,None,1.0
2800000,1.1233938,-0.00039231585,None,None,None,1.0
2810000,1.1231885,6.82215e-05,None,None,None,1.0
2820000,1.1230291,-0.0011565406,None,None,None,1.0
